Employment_est,GEO_ID,NAME
476,1400000US36005043501,"Census Tract 435.01, Bronx County, New York"
0,1400000US36005043502,"Census Tract 435.02, Bronx County, New York"
0,1400000US36005043503,"Census Tract 435.03, Bronx County, New York"
1522,1400000US36005043600,"Census Tract 436, Bronx County, New York"
3061,1400000US36005044200,"Census Tract 442, Bronx County, New York"
3915,1400000US36005044400,"Census Tract 444, Bronx County, New York"
1734,1400000US36005044800,"Census Tract 448, Bronx County, New York"
1521,1400000US36005044901,"Census Tract 449.01, Bronx County, New York"
1735,1400000US36005044902,"Census Tract 449.02, Bronx County, New York"
1290,1400000US36005045101,"Census Tract 451.01, Bronx County, New York"
1669,1400000US36005045102,"Census Tract 451.02, Bronx County, New York"
2834,1400000US36005045600,"Census Tract 456, Bronx County, New York"
4046,1400000US36005045800,"Census Tract 458, Bronx County, New York"
2476,1400000US36005046000,"Census Tract 460, Bronx County, New York"
6557,1400000US36005046203,"Census Tract 462.03, Bronx County, New York"
5422,1400000US36005046204,"Census Tract 462.04, Bronx County, New York"
2835,1400000US36005046205,"Census Tract 462.05, Bronx County, New York"
3756,1400000US36005046206,"Census Tract 462.06, Bronx County, New York"
4976,1400000US36005046207,"Census Tract 462.07, Bronx County, New York"
4640,1400000US36005046208,"Census Tract 462.08, Bronx County, New York"
3258,1400000US36005046209,"Census Tract 462.09, Bronx County, New York"
3347,1400000US36005048401,"Census Tract 484.01, Bronx County, New York"
0,1400000US36005048402,"Census Tract 484.02, Bronx County, New York"
0,1400000US36005050400,"Census Tract 504, Bronx County, New York"
3612,1400000US36005051601,"Census Tract 516.01, Bronx County, New York"
0,1400000US36005051602,"Census Tract 516.02, Bronx County, New York"
3881,1400000US36047000100,"Census Tract 1, Kings County, New York"
880,1400000US36047000200,"Census Tract 2, Kings County, New York"
3076,1400000US36047000301,"Census Tract 3.01, Kings County, New York"
4077,1400000US36047000501,"Census Tract 5.01, Kings County, New York"
2325,1400000US36047000502,"Census Tract 5.02, Kings County, New York"
2976,1400000US36047000700,"Census Tract 7, Kings County, New York"
4053,1400000US36047000900,"Census Tract 9, Kings County, New York"
1349,1400000US36047001100,"Census Tract 11, Kings County, New York"
1740,1400000US36047001300,"Census Tract 13, Kings County, New York"
4151,1400000US36047001501,"Census Tract 15.01, Kings County, New York"
3821,1400000US36047001502,"Census Tract 15.02, Kings County, New York"
1920,1400000US36047001801,"Census Tract 18.01, Kings County, New York"
0,1400000US36047001802,"Census Tract 18.02, Kings County, New York"
0,1400000US36047001803,"Census Tract 18.03, Kings County, New York"
0,1400000US36047001804,"Census Tract 18.04, Kings County, New York"
1169,1400000US36047002000,"Census Tract 20, Kings County, New York"
3931,1400000US36047002100,"Census Tract 21, Kings County, New York"
3460,1400000US36047002200,"Census Tract 22, Kings County, New York"
3325,1400000US36047002300,"Census Tract 23, Kings County, New York"
3372,1400000US36047002901,"Census Tract 29.01, Kings County, New York"
1324,1400000US36047003000,"Census Tract 30, Kings County, New York"
3040,1400000US36047003101,"Census Tract 31.01, Kings County, New York"
0,1400000US36047003102,"Census Tract 31.02, Kings County, New York"
3694,1400000US36047003300,"Census Tract 33, Kings County, New York"
2571,1400000US36047003400,"Census Tract 34, Kings County, New York"
